Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C8",0402,5,100nF/16V,C1525
C10,C10_C_0805_2012Metric,1,22uf/16V,C98190
C4,C0603,1,100nF/50V,C14663
"C6, C7",0805,2,10uf/50V,C2932476
C9,0805,1,22uf/16V,C98190
D1,D1_SOD323HE_Compatible,1,LMBR140ET1G,C172430
D2,D2_SOD323HE_Compatible,1,LMBR140ET1G,C172430
J3,J3_CONN-TH_9P-P2_54_KF128-2_54-9P,1,KF128-2.54-9P,C474927
J4,J4_CONN-TH_4P-P2_54_KF128-2_54-4P,1,KF128-2.54-4P,C474922
J5,J5_JST_SH_BM05B-SRSS-TB_1x05-1MP_P1_00mm_Vertical,1,BM05B-SRSS-TB(LF)(SN),C160391
L1,L1_IND-SMD_L5_0-W5_0,1,CR5040-4R7M,C520348
"R30, R31, R32, R33, R34, R35, R36, R37",R0603,8,33R,C23140
RN1,RES-ARRAY-SMD_1206-10P-L3.2-W1.6-BL,1,EXBD10C472J,C2654036
SW1,SW1_KEY-SMD_4P-L4_2-W3_2-P2_20-LS4_6,1,PROG BUTTON,C139797
U2,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,SN74LV8T245PWR,C20345798
U3,U3_SOIC-8_3_9x4_9mm_P1_27mm,1,ADUM1201ARZ-RL7,C9669
U5,U5_TSOT-26_L2_9-W1_6-P0_95-LS2_8-BL,1,AP63205WU-7,C2071056
