Comment,Designator,Footprint,LCSC Part #
PROG BUTTON,SW1,SMD 4.2x3.2mm,C139797
100nF/50V,C4,0603,C14663
100nF/16V,"C1,C2,C3,C5,C8",0402,C1525
BM05B-SRSS-TB(LF)(SN),J5,JST SH 5P 1mm,C160391
LMBR140ET1G,"D1,D2",SOD-323HE,C172430
SN74LV8T245PWR,U2,TSSOP-20,C20345798
AP63205WU-7,U5,TSOT-26,C2071056
33R,"R30,R31,R32,R33,R34,R35,R36,R37",0603,C23140
10uf/50V,"C6,C7",0805,C2932476
KF128-2.54-4P,J4,THT 4P 2.54mm,C474922
KF128-2.54-9P,J3,THT 9P 2.54mm,C474927
CR5040-4R7M,L1,SMD 5x5mm,C520348
ADUM1201ARZ-RL7,U3,SOIC-8,C9669
22uf/16V,"C10,C9",0805,C98190
