Designator,Mid X,Mid Y,Layer,Rotation
C1,59.700000,-49.800000,top,90
C10,59.740000,-47.110000,top,90
C2,58.500000,-51.000000,top,90
C3,57.404000,-50.042000,top,270
C4,52.650000,-61.900000,top,0
C5,69.000000,-57.060000,top,90
C6,66.010000,-47.110000,top,90
C7,64.010000,-47.110000,top,90
C8,69.900000,-45.600000,top,0
C9,61.900000,-47.110000,top,270
D1,70.330000,-63.190000,top,0
D2,65.660000,-63.190000,top,0
J3,60.626400,-41.753400,top,180
J4,67.491400,-71.593400,top,0
J5,68.141400,-66.350000,top,180
L1,66.040000,-59.170000,top,270
R30,55.700000,-61.900000,top,0
R31,58.750000,-61.900000,top,0
R32,52.650000,-63.550000,top,0
R33,55.700000,-63.550000,top,0
R34,58.750000,-63.550000,top,0
R35,60.500000,-52.900000,top,0
R36,60.500000,-54.500000,top,0
R37,60.500000,-56.100000,top,0
SW1,71.010000,-59.200000,top,90
U2,55.000000,-57.401000,top,90
U3,54.216400,-49.093400,top,0
U5,70.270000,-48.020000,top,0
