Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF/16V,C1_C_0402_1005Metric,59.700000,-49.800000,90.000000,top
C2,100nF/16V,C2_C_0402_1005Metric,58.500000,-51.000000,90.000000,top
C3,100nF/16V,C3_C_0402_1005Metric,57.404000,-50.042000,-90.000000,top
C4,100nF/50V,C4_C_0603_1608Metric,52.650000,-61.900000,0.000000,top
C5,100nF/16V,C5_C_0402_1005Metric,69.000000,-57.060000,90.000000,top
C6,10uf/50V,C6_C_0805_2012Metric,66.010000,-47.110000,90.000000,top
C7,10uf/50V,C7_C_0805_2012Metric,64.010000,-47.110000,90.000000,top
C8,100nF/16V,C8_C_0402_1005Metric,69.900000,-45.600000,0.000000,top
C9,22uf/16V,C9_C_0805_2012Metric,61.900000,-47.110000,-90.000000,top
C10,22uf/16V,C10_C_0805_2012Metric,59.740000,-47.110000,90.000000,top
D1,LMBR140ET1G,D1_SOD323HE_Compatible,70.330000,-63.190000,0.000000,top
D2,LMBR140ET1G,D2_SOD323HE_Compatible,65.660000,-63.190000,0.000000,top
J3,KF128-2.54-9P,J3_CONN-TH_9P-P2_54_KF128-2_54-9P,60.626400,-41.753400,180.000000,top
J4,KF128-2.54-4P,J4_CONN-TH_4P-P2_54_KF128-2_54-4P,67.491400,-71.593400,0.000000,top
J5,BM05B-SRSS-TB(LF)(SN),J5_JST_SH_BM05B-SRSS-TB_1x05-1MP_P1_00mm_Vertical,68.141400,-66.285000,0.000000,top
L1,CR5040-4R7M,L1_IND-SMD_L5_0-W5_0,66.040000,-59.170000,-90.000000,top
R30,33R,R30_R_0603_1608Metric,55.700000,-61.900000,0.000000,top
R31,33R,R31_R_0603_1608Metric,58.750000,-61.900000,0.000000,top
R32,33R,R32_R_0603_1608Metric,52.650000,-63.550000,0.000000,top
R33,33R,R33_R_0603_1608Metric,55.700000,-63.550000,0.000000,top
R34,33R,R34_R_0603_1608Metric,58.750000,-63.550000,0.000000,top
R35,33R,R35_R_0603_1608Metric,60.500000,-52.900000,0.000000,top
R36,33R,R36_R_0603_1608Metric,60.500000,-54.500000,0.000000,top
R37,33R,R37_R_0603_1608Metric,60.500000,-56.100000,0.000000,top
SW1,PROG BUTTON,SW1_KEY-SMD_4P-L4_2-W3_2-P2_20-LS4_6,71.010000,-59.200000,90.000000,top
U2,SN74LV8T245PWR,U2_TSSOP-20_4_4x6_5mm_P0_65mm,55.000000,-57.400000,180.000000,top
U3,ADUM1201ARZ-RL7,U3_SOIC-8_3_9x4_9mm_P1_27mm,54.216400,-49.093400,90.000000,top
U5,AP63205WU-7,U5_TSOT-26_L2_9-W1_6-P0_95-LS2_8-BL,70.270000,-48.020000,0.000000,top
