Designator,Mid X,Mid Y,Rotation,Layer
C1,59.7,-49.8,90.0,top
C10,59.74,-47.11,90.0,top
C2,58.5,-51.0,90.0,top
C3,57.404,-50.042,270.0,top
C4,52.6,-61.85,0.0,top
C5,69.0,-57.06,90.0,top
C6,66.01,-47.11,90.0,top
C7,64.01,-47.11,90.0,top
C8,69.9,-45.6,0.0,top
C9,61.9,-47.11,270.0,top
D1,70.33,-63.19,0.0,top
D2,65.66,-63.19,0.0,top
GN1,49.6564,-54.1734,180.0,top
H1,51.0164,-68.1634,0.0,top
H2,56.7664,-68.1634,0.0,top
J1,53.8714,-68.1434,90.0,top
J2,53.8914,-71.0634,90.0,top
J3,60.6264,-41.7534,180.0,top
J4,67.4914,-71.5934,0.0,top
J5,68.1414,-66.285,0.0,top
JP1,70.92,-67.04,270.0,bottom
JP2,67.44,-66.51,270.0,bottom
JP4,50.63,-64.84,180.0,bottom
L1,66.04,-59.17,270.0,top
R30,55.65,-61.8,0.0,top
R31,58.7,-61.8,0.0,top
R32,52.65,-63.45,0.0,top
R33,55.7,-63.45,0.0,top
R34,58.75,-63.45,0.0,top
R35,60.5,-52.8,0.0,top
R36,60.5,-54.5,0.0,top
R37,60.45,-56.15,0.0,top
SW1,71.01,-59.2,90.0,top
U1,51.4558,-62.3858,90.0,bottom
U2,55.02,-57.43,0.0,top
U3,54.2164,-49.0934,90.0,top
U5,70.27,-48.02,0.0,top
