Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C7,100nF 16V - (X5R 0805),C_0805_2012Metric,126.86,-108.67,-90.0,top
GN1,OpenKNX_BCU,OpenKNX_BCU_V2.0,121.3275,-111.01,180.0,top
J1,Conn_KNX,KNX-Connector-SMD-Flat,120.745,-117.8312,0.0,top
J5,Conn_01x05,JST_SHL_SM05B-SHLS-TF_1x05-1MP_P1.00mm_Horizontal,131.86,-119.34,90.0,top
J6,Conn_01x05,PinHeader_1x05_P1.27mm_Vertical,113.14,-122.8,180.0,top
J7,Conn_01x12,JST_SHL_SM12B-SHLS-TF_1x12-1MP_P1.00mm_Horizontal,131.86,-107.025,90.0,top
REF1,LOGO,OpenKNX_Logo_05x03,120.059324,-107.748669,0.0,top
REF2,LOGO,OpenKNX_Logo_07x05,127.716997,-111.801013,90.0,bottom
REF42,KNeoPix - Logo,KNeoPix - Logo,123.73,-114.68,0.0,top
SW1,Prog BTN,SW_Push_1P1T_NO_CK_KMR2,131.5,-123.58,90.0,bottom
U1,Seeeduino XIAO,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM-no-15-16-17-18-19-20-pad,133.6958,-120.92,0.0,bottom
